datetime,sand_temp,sand_wind,sand_vis,sand_ceil
2016-01-11 02:51:00,+0150,0026,016093,01250
2016-01-11 03:51:00,+0150,0021,016093,03658
2016-01-11 04:51:00,+0144,0021,016093,03353
2016-01-11 05:51:00,+0139,0000,016093,22000
2016-01-11 06:00:00,+0139,0000,016000,99999
2016-01-11 06:51:00,+0133,0000,016093,22000
2016-01-11 07:51:00,+0128,0000,016093,03658
2016-01-11 07:59:00,+9999,9999,999999,99999
2016-01-11 08:51:00,+0128,0000,016093,03658
2016-01-11 09:51:00,+0122,0000,016093,03658
2016-01-11 10:51:00,+0117,0000,016093,22000
2016-01-11 11:51:00,+0106,0000,016093,22000
2016-01-11 12:00:00,+0106,0000,016000,99999
2016-01-11 12:51:00,+0106,0000,016093,22000
2016-01-11 13:51:00,+0100,0000,014484,22000
2016-01-11 14:51:00,+0106,0021,016093,07620
2016-01-11 15:51:00,+0117,0000,016093,07620
2016-01-11 16:51:00,+0139,0015,016093,07620
2016-01-11 17:51:00,+0161,0021,016093,07620
2016-01-11 18:00:00,+0161,0021,016000,99999
2016-01-11 18:51:00,+0172,0000,016093,06096
2016-01-11 19:51:00,+0172,0026,016093,06096
2016-01-11 20:51:00,+0178,0026,016093,06096
2016-01-11 21:51:00,+0178,0021,016093,06096
2016-01-11 22:51:00,+0167,0031,016093,06096
2016-01-11 23:51:00,+0172,0031,016093,06096
2016-01-12 00:00:00,+0172,0031,016000,99999
2016-01-12 00:51:00,+0167,0041,016093,06096
2016-01-12 01:51:00,+0161,0036,016093,06096
2016-01-12 02:51:00,+0156,0031,016093,07620
2016-01-12 03:51:00,+0156,0031,016093,07620
2016-01-12 04:51:00,+0144,0015,016093,07620
2016-01-12 05:51:00,+0128,0000,016093,07620
2016-01-12 06:00:00,+0128,0000,016000,99999
2016-01-12 06:51:00,+0122,0000,016093,07620
2016-01-12 07:51:00,+0111,0000,016093,22000
2016-01-12 07:59:00,+9999,9999,999999,99999
2016-01-12 08:51:00,+0106,0000,016093,22000
2016-01-12 09:51:00,+0106,0000,016093,22000
2016-01-12 10:51:00,+0094,0000,016093,22000
2016-01-12 11:51:00,+0089,0000,016093,22000
2016-01-12 12:00:00,+0089,0000,016000,99999
2016-01-12 12:51:00,+0083,0000,016093,22000
2016-01-12 13:51:00,+0083,0000,016093,22000
2016-01-12 14:51:00,+0078,0000,016093,22000
2016-01-12 15:51:00,+0094,0015,016093,22000
2016-01-12 16:51:00,+0117,0000,016093,22000
2016-01-12 17:51:00,+0150,0000,016093,22000
2016-01-12 18:00:00,+0150,0000,016000,99999
2016-01-12 18:51:00,+0161,0015,016093,22000
2016-01-12 19:51:00,+0172,0021,016093,22000
2016-01-12 20:51:00,+0183,0031,016093,22000
2016-01-12 21:51:00,+0189,0021,016093,22000
2016-01-12 22:51:00,+0189,0036,016093,22000
2016-01-12 23:51:00,+0172,0072,016093,22000
2016-01-13 00:00:00,+0172,0072,016000,99999
2016-01-13 00:51:00,+0161,0072,016093,22000
2016-01-13 01:51:00,+0156,0021,016093,22000
2016-01-13 02:51:00,+0150,0000,016093,22000
2016-01-13 03:51:00,+0133,0000,016093,22000
2016-01-13 04:51:00,+0128,0015,016093,22000
2016-01-13 05:51:00,+0128,0000,016093,22000
2016-01-13 06:00:00,+0128,0000,016000,99999
2016-01-13 06:51:00,+0122,0000,016093,22000
2016-01-13 07:51:00,+0111,0000,016093,22000
2016-01-13 07:59:00,+9999,9999,999999,99999
2016-01-13 08:51:00,+0100,0000,016093,22000
2016-01-13 09:51:00,+0100,0000,016093,22000
2016-01-13 10:51:00,+0094,0000,016093,22000
2016-01-13 11:51:00,+0083,0015,016093,07620
2016-01-13 12:00:00,+0083,0015,016000,99999
2016-01-13 12:51:00,+0089,0015,016093,07620
2016-01-13 13:51:00,+0078,0000,016093,22000
2016-01-13 14:51:00,+0083,0021,016093,07620
2016-01-13 15:51:00,+0089,0000,016093,07620
2016-01-13 16:51:00,+0117,0000,016093,06096
2016-01-13 17:51:00,+0150,0000,016093,06096
2016-01-13 18:00:00,+0150,0000,016000,99999
2016-01-13 18:51:00,+0167,0031,016093,06096
2016-01-13 19:51:00,+0161,0036,016093,06096
2016-01-13 20:51:00,+0167,0041,016093,06096
2016-01-13 21:51:00,+0167,0041,016093,06096
2016-01-13 22:51:00,+0167,0041,016093,06096
2016-01-13 23:51:00,+0167,0031,016093,22000
2016-01-14 00:00:00,+0167,0031,016000,99999
2016-01-14 00:51:00,+0161,0021,016093,22000
2016-01-14 01:51:00,+0156,0015,016093,22000
2016-01-14 02:51:00,+0150,0000,016093,04572
2016-01-14 03:03:00,+0150,0000,016093,00579
2016-01-14 03:51:00,+0150,0000,016093,00640
2016-01-14 04:51:00,+0156,0015,016093,00640
2016-01-14 05:51:00,+0150,0000,016093,00640
2016-01-14 06:00:00,+0150,0000,016000,99999
2016-01-14 06:51:00,+0144,0015,016093,00640
2016-01-14 07:51:00,+0144,0000,016093,00701
2016-01-14 07:59:00,+9999,9999,999999,99999
2016-01-14 08:51:00,+0139,0031,016093,00884
2016-01-14 09:21:00,+0130,0000,016093,22000
2016-01-14 09:33:00,+0130,0015,016093,00884
2016-01-14 09:51:00,+0128,0000,016093,00884
2016-01-14 10:08:00,+0130,0000,016093,22000
2016-01-14 10:51:00,+0122,0000,016093,22000
2016-01-14 11:51:00,+0111,0000,016093,22000
2016-01-14 12:00:00,+0111,0000,016000,99999
2016-01-14 12:51:00,+0111,0000,016093,22000
2016-01-14 13:51:00,+0106,0000,016093,22000
2016-01-14 14:37:00,+0110,0000,016093,00579
2016-01-14 14:49:00,+0110,0000,016093,22000
2016-01-14 14:51:00,+0106,0000,016093,00671
2016-01-14 14:59:00,+0110,0000,016093,01067
2016-01-14 15:19:00,+0110,0000,016093,00671
2016-01-14 15:51:00,+0117,0000,016093,00671
2016-01-14 16:51:00,+0128,0000,016093,00610
2016-01-14 16:58:00,+0130,0000,016093,00914
2016-01-14 17:08:00,+0130,0000,016093,00610
2016-01-14 17:43:00,+0130,0000,016093,00914
2016-01-14 17:51:00,+0139,0000,016093,00914
2016-01-14 18:00:00,+0139,0000,016000,99999
2016-01-14 18:51:00,+0156,0015,016093,07620
2016-01-14 19:51:00,+0161,0026,016093,06096
2016-01-14 20:51:00,+0167,0021,016093,22000
2016-01-14 21:51:00,+0172,0051,016093,22000
2016-01-14 22:51:00,+0172,0021,016093,22000
2016-01-14 23:51:00,+0167,0031,016093,07620
2016-01-15 00:00:00,+0167,0031,016000,99999
2016-01-15 00:51:00,+0161,0031,016093,07620
2016-01-15 01:51:00,+0150,0021,016093,07620
2016-01-15 02:51:00,+0150,0015,016093,22000
2016-01-15 03:51:00,+0144,0000,016093,22000
2016-01-15 04:36:00,+0140,0000,016093,00640
2016-01-15 04:51:00,+0144,0000,016093,00640
2016-01-15 04:59:00,+0140,0000,016093,07620
2016-01-15 05:51:00,+0139,0000,016093,07620
2016-01-15 05:58:00,+0140,0000,016093,00732
2016-01-15 06:00:00,+0139,0000,016000,99999
2016-01-15 06:51:00,+0139,0000,016093,00792
2016-01-15 07:51:00,+0139,0000,016093,00853
2016-01-15 07:59:00,+9999,9999,999999,99999
2016-01-15 08:51:00,+0128,0015,016093,00853
2016-01-15 09:47:00,+0130,0015,016093,07620
2016-01-15 09:51:00,+0128,0015,016093,07620
2016-01-15 10:51:00,+0117,0031,016093,22000
2016-01-15 11:28:00,+0120,0000,016093,00792
2016-01-15 11:51:00,+0117,0000,016093,00792
2016-01-15 12:00:00,+0117,0000,016000,99999
2016-01-15 12:51:00,+0122,0000,016093,01006
2016-01-15 13:51:00,+0122,0000,016093,01067
2016-01-15 14:51:00,+0122,0015,016093,22000
2016-01-15 15:51:00,+0128,0015,016093,22000
2016-01-15 16:51:00,+0133,0026,016093,01524
2016-01-15 17:51:00,+0144,0031,016093,01524
2016-01-15 18:00:00,+0144,0031,016000,99999
2016-01-15 18:51:00,+0156,0036,016093,01128
2016-01-15 19:01:00,+0160,0036,016093,00792
2016-01-15 19:51:00,+0161,0041,016093,00671
2016-01-15 20:51:00,+0161,0031,016093,00671
2016-01-15 21:51:00,+0161,0031,016093,00671
2016-01-15 22:51:00,+0150,0015,009656,00732
2016-01-15 23:51:00,+0144,0021,011265,00823
2016-01-16 00:00:00,+0144,0021,011000,99999
